objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
mic001,mi_n_dcnw_1nov1906_NeverAgain_300.jpg,,,news: Never Again,Daily Columbian New Westminster,1906-11-01,New,,"Moscow, Idaho",,,,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
mic002,BattouKannonDo entrance 2018.png,,,Batto Kannon Do shrine entrance,David Sulz,2018,,,"Yonekawa, Japan",38.74977358,141.3486805,,,,image/jpeg,eng,,
mic003,BattouKannonDo Front 2018.png,,,Batto Kannon Do shrine ,David Sulz,2018,,,"Yonekawa, Japan",38.74977358,141.3486805,,,,image/jpeg,eng,,
mic004,BattouKannonDo plaque 2018.png,,,Batto Kannon Do shrine plaque,David Sulz,2018,,,"Yonekawa, Japan",38.74977358,141.3486805,,,,image/jpeg,eng,,
mic005,BuckSuzukiInterview1973Actual.mp3,,,Buck Suzuki Interview,Buck Suzuki,1973,,,"Yonekawa, Japan",38.74977358,141.3486805,,,,audio/mp3,eng,,
mic006,Kanichi Nitta Plaque.mp4,,,Text of Nitta Plaque,David Sulz,2018,,,"Yonekawa, Japan",38.74977358,141.3486805,,,,video/mp4,eng,,
mic007,mi_d_BuckSuzuki_Interview1973_Summary.pdf,,,Buck Suzuki Interview,Buck Suzuki,1973,,,"Steveston, BC",,,,,,application/pdf,eng,,
mic008,mi_n_dpv_23oct1906_JapaneseSchooner_300.jpg,,,news: Japanese Schooner,Daily Province,1906-10-23,,,"Victoria, BC",,,,,,image/jpeg,eng,,
mic009,mi_n_dpv_31oct1906_JapaneseMaster_300.jpg,,,news: Japanese Master,Daily Province,1906-10-31,,,"Victoria, BC",,,,,,image/jpeg,eng,,
mic010,mi_n_suianmaruincident_newspaperarticlestranscripts_1906 copy 2.pdf,,,Suian Maru news transcript,David Sulz,1906-10,,,"Victoria, BC",,,,,,application/pdf,eng,,
mic011,mi_n_vdc_21oct1906_JapCoolies_300.jpg,,,news: Jap Coolies,Victoria Daily Colonist,1906-10,,,"Victoria, BC",,,,,,image/jpeg,eng,,
mic012,mi_n_vdc_24oct1906_HowJapanese_stitch_300.jpg,,,news: How Japanese,Victoria Daily Colonist,1906-10,,,"Victoria, BC",,,,,,image/jpeg,eng,,
mic013,mi_n_vdc_25Oct1906_ContrabandJaps_300.jpg,,,news: Contraband Japs,Victoria Daily Colonist,1906-10,,,"Victoria, BC",,,,,,image/jpeg,eng,,
mic014,mi_n_vdt_8Nov1906_SuianMaruGoes_300.jpg,,,news: Suianmaru goes,Victoria Daily Times,1906-11,,,"Victoria, BC",,,,,,image/jpeg,eng,,
mic015,mi_n_vdt_30oct1906_JapaneseCaptain_300.jpg,,,news: Japanese Captain,Victoria Daily Times,1906-10,,,"Victoria, BC",,,,,,image/jpeg,eng,,
mic016,mikkousen suianmaru cover.jpeg,,,Mikkousen Suian maru book cover,Kodansha,1975,,,,,,,,,image/jpeg,eng,,
mic017,miyagi BC map from mikkousen suianmaru.jpeg,,,Miyagi Canada Map,Kodansha,1975,,,,,,,,,image/jpeg,eng,,
mic018,Oikwawa Memorial Stone Post.png,,,Oikwa Memorial Stone Post,David Sulz,2018,,,"Yonekawa, Japan",38.74977358,141.3486805,,,,image/jpeg,eng,,
